Sample Unnamed: 0_level_1	Sequenced_Read-pair Unnamed: 1_level_1	Mapped_Read-pair Count	Mapped_Read-pair Percentage	Nonclonal_Read-pair Count	Nonclonal_Read-pair Percentage	cis<1kb Count	cis<1kb Percentage	cis>1kb Count	cis>1kb Percentage	trans Count	trans Percentage	mCCC/CCC Unnamed: 12_level_1	mCG/CG Unnamed: 13_level_1	mCH/CH Unnamed: 14_level_1	Estimated mCG/CG Unnamed: 15_level_1	id	batch	cell_type
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C11_AD007	669724	381813	0.5701049984769846	352673	0.9236799166083921	296525	0.8408	37738	0.107	18410	0.0522	0.01087	0.76301	0.03387	0.76041	181218_21yr_2_C11_AD007	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C11_AD008	623851	342971	0.5497642866646042	316825	0.9237661493245785	254509	0.8033	43051	0.1359	19265	0.0608	0.01367	0.76759	0.04092	0.76437	181218_21yr_2_C11_AD008	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C11_AD010	672077	379451	0.5645945330668956	350393	0.9234209423614643	284664	0.8124	47316	0.135	18413	0.0525	0.0117	0.75463	0.0354	0.75173	181218_21yr_2_C11_AD010	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C11_AD012	761865	428539	0.5624867922794721	396244	0.9246392977068598	320016	0.8076	51760	0.1306	24468	0.0617	0.00957	0.78195	0.01186	0.77984	181218_21yr_2_C11_AD012	181218_21yr	OPC
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD001	1112238	614486	0.5524770777477482	547268	0.8906110147342657	449204	0.8208	58051	0.1061	40013	0.0731	0.00943	0.70462	0.0095	0.70181	181218_21yr_2_C12_AD001	181218_21yr	MG
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD002	1015082	557836	0.5495477212678385	496049	0.8892380556292531	402140	0.8107	57727	0.1164	36182	0.0729	0.00932	0.76762	0.01178	0.76543	181218_21yr_2_C12_AD002	181218_21yr	ODC
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD004	1362048	759529	0.5576374694577577	674716	0.8883347442954779	549925	0.815	77926	0.1155	46865	0.0695	0.0086	0.7877	0.00866	0.78586	181218_21yr_2_C12_AD004	181218_21yr	MP
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD006	1435464	793403	0.5527153589362046	706397	0.890338201393239	572028	0.8098	84316	0.1194	50053	0.0709	0.00949	0.77116	0.01253	0.76897	181218_21yr_2_C12_AD006	181218_21yr	ODC
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD007	1418204	783301	0.5523189893696534	694502	0.8866348951424804	564087	0.8122	78791	0.1134	51624	0.0743	0.00838	0.76662	0.00867	0.76465	181218_21yr_2_C12_AD007	181218_21yr	OPC
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD008	1307181	715736	0.5475416181844749	635444	0.8878189723585233	516935	0.8135	73697	0.116	44812	0.0705	0.01002	0.7674	0.01331	0.76505	181218_21yr_2_C12_AD008	181218_21yr	ODC
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD010	1337040	754574	0.5643615748219949	669672	0.88748353375547	568631	0.8491	60157	0.0898	40884	0.0611	0.00842	0.75771	0.00948	0.75565	181218_21yr_2_C12_AD010	181218_21yr	Endo
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD012	1474617	840330	0.5698632255019439	744997	0.8865529018361834	644457	0.865	55609	0.0746	44931	0.0603	0.00878	0.77118	0.01077	0.76915	181218_21yr_2_C12_AD012	181218_21yr	ODC
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C2_AD001	946635	527496	0.5572327243340887	464786	0.8811175819342706	390182	0.8395	46724	0.1005	27880	0.06	0.01527	0.80633	0.05437	0.80333	181218_21yr_2_C2_AD001	181218_21yr	Pvalb
